"id","loan_amount","annual_income","issue_date","dti","int_rate","grade","sub_grade","term_months","total_payment","profit","loan_status"
410267,"7000","37000","2021-06-09","9.76","10.95","B","B1",36,"8276","1276","Fully Paid"
842971,"6000","225000","2021-08-11","5.51","10.99","B","B3",36,"6700","700","Fully Paid"
782787,"21000","92000","2021-06-11","9.42","11.63","B","B3",36,"23262","2262","Fully Paid"
409963,"8400","160000","2021-06-09","10.78","11.89","B","B4",36,"9372","972","Fully Paid"
442093,"14900","55000","2021-09-09","9.51","11.83","B","B3",36,"16353","1453","Fully Paid"
554790,"15000","106000","2021-09-10","13.30","10.75","B","B2",36,"17176","2176","Fully Paid"
870661,"5000","72000","2021-09-11","22.72","10.59","B","B2",36,"5858","858","Fully Paid"
502320,"7000","53000","2021-04-10","18.72","9.88","B","B1",36,"8036","1036","Fully Paid"
856289,"7500","68000","2021-09-11","19.76","11.99","B","B5",36,"8967","1467","Fully Paid"
536728,"4000","75000","2021-07-11","3.09","11.49","B","B4",36,"4662","662","Fully Paid"
998339,"16800","125000","2021-10-11","17.34","12.42","B","B4",36,"19992","3192","Fully Paid"
423658,"4000","47004","2021-07-09","1.07","12.53","C","C1",36,"4405","405","Fully Paid"
890104,"4800","14400","2021-09-11","2.08","14.65","C","C3",36,"5311","511","Fully Paid"
779840,"5000","36000","2021-06-11","9.67","14.79","C","C4",36,"5402","402","Fully Paid"
819389,"2875","28000","2021-07-11","24.90","15.23","C","C5",36,"3600","725","Fully Paid"
647208,"2000","57450","2021-01-11","16.38","13.35","C","C4",36,"2438","438","Fully Paid"
1001743,"2550","25200","2021-10-11","23.32","14.27","C","C2",36,"3018","468","Fully Paid"
390162,"1500","75764","2021-04-09","11.40","14.42","D","D2",36,"1602","102","Fully Paid"
585825,"2800","13000","2021-09-10","1.57","15.21","D","D2",36,"3329","529","Fully Paid"
818399,"5400","18000","2021-07-11","1.33","15.99","D","D2",36,"6478","1078","Fully Paid"
399343,"10000","76000","2021-08-09","12.55","15.37","D","D5",36,"12545","2545","Fully Paid"
376056,"8000","75000","2021-02-09","10.03","15.37","D","D5",36,"10036","2036","Fully Paid"
630486,"4000","15600","2021-12-10","11.92","16.32","E","E2",36,"5086","1086","Fully Paid"
642223,"24000","125000","2021-02-11","2.60","17.14","E","E3",36,"28541","4541","Fully Paid"
379256,"5000","47998","2021-02-09","3.73","16.00","E","E2",36,"5492","492","Fully Paid"
373982,"15000","75333","2021-01-09","9.81","11.58","B","B3",36,"17827","2827","Fully Paid"
577117,"3500","109500","2021-09-10","12.65","10.75","B","B2",36,"3945","445","Fully Paid"
590817,"6500","44400","2021-10-10","2.90","14.84","D","D1",36,"8111","1611","Fully Paid"
660921,"10000","107500","2021-02-11","28.40","7.66","A","A5",36,"11226","1226","Fully Paid"
883516,"10000","74000","2021-09-11","1.67","11.71","B","B3",36,"11898","1898","Fully Paid"
997879,"12000","77954","2021-10-11","4.53","8.90","A","A5",60,"2601","-9399","Charged Off"
558644,"6250","43596","2021-08-10","3.55","10.38","B","B1",60,"6565","315","Charged Off"
725193,"9000","60000","2021-04-11","9.34","10.37","B","B3",60,"9158","158","Charged Off"
871883,"14400","70000","2021-09-11","23.21","10.99","B","B3",60,"14790","390","Charged Off"
703840,"8500","33600","2021-03-11","10.96","11.11","B","B5",60,"8049","-451","Charged Off"
757943,"4000","39600","2021-05-11","1.03","10.59","B","B2",60,"1895","-2105","Charged Off"
613703,"9600","80000","2021-11-10","12.58","10.36","B","B5",60,"4351","-5249","Charged Off"
673623,"5400","99996","2021-02-11","12.84","12.68","C","C1",60,"1698","-3702","Charged Off"
554342,"2100","48000","2021-07-10","18.50","13.61","C","C2",60,"2234","134","Charged Off"
1028164,"5600","51600","2021-11-11","12.56","15.27","C","C4",60,"6153","553","Charged Off"
708174,"1675","34800","2021-03-11","12.66","13.80","C","C4",60,"1669","-6","Charged Off"
625711,"3825","90840","2021-12-10","9.05","12.98","C","C3",60,"1653","-2172","Charged Off"
668271,"3800","42000","2021-02-11","20.23","13.80","C","C4",60,"2817","-983","Charged Off"
1000321,"6000","32346","2021-10-11","10.28","17.27","D","D3",60,"6472","472","Charged Off"
764963,"3600","31243","2021-05-11","5.03","16.49","D","D3",60,"3217","-383","Charged Off"
1047552,"7875","38400","2021-12-11","10.28","17.27","D","D3",60,"2158","-5717","Charged Off"
752397,"7750","50400","2021-05-11","16.60","10.99","B","B3",60,"1174","-6576","Charged Off"
572896,"4625","26000","2021-09-10","14.31","11.12","B","B3",60,"906","-3719","Charged Off"
594206,"11000","28560","2021-10-10","1.68","11.49","B","B4",60,"10064","-936","Charged Off"
529168,"2000","22800","2021-06-10","13.63","13.98","C","C3",60,"2556","556","Charged Off"
817000,"4000","14400","2021-07-11","6.92","17.49","D","D5",60,"5425","1425","Charged Off"
653096,"8000","96000","2021-01-11","11.22","13.43","C","C3",60,"7319","-681","Charged Off"
603937,"4000","81000","2021-10-10","16.21","9.62","B","B3",60,"3063","-937","Charged Off"
809298,"11900","38000","2021-07-11","4.07","10.99","B","B3",60,"8652","-3248","Charged Off"
678111,"6600","38400","2021-02-11","3.59","11.11","B","B5",60,"3427","-3173","Charged Off"
669087,"2900","75600","2021-02-11","14.90","13.43","C","C3",60,"2148","-752","Charged Off"
1041216,"14000","52000","2021-12-11","5.35","17.27","D","D3",60,"15400","1400","Charged Off"
729869,"5000","90000","2021-04-11","3.73","7.29","A","A4",60,"5981","981","Fully Paid"
840643,"5000","72600","2021-08-11","13.59","7.49","A","A4",60,"5987","987","Fully Paid"
704853,"2500","43872","2021-03-11","7.41","7.29","A","A4",60,"2991","491","Fully Paid"
685481,"4800","50400","2021-03-11","10.33","7.66","A","A5",60,"5788","988","Fully Paid"
729609,"7500","43000","2021-04-11","3.24","7.66","A","A5",60,"9051","1551","Fully Paid"
732169,"4250","38400","2021-04-11","2.72","7.66","A","A5",60,"5129","879","Fully Paid"
866216,"3000","52800","2021-09-11","26.09","8.49","A","A5",60,"3630","630","Fully Paid"
557280,"6500","118200","2021-08-10","8.31","7.88","A","A5",60,"7786","1286","Fully Paid"
971088,"5600","60000","2021-10-11","16.38","8.90","A","A5",60,"6026","426","Fully Paid"
864131,"13000","80000","2021-08-11","11.74","8.49","A","A5",60,"14246","1246","Fully Paid"
515929,"5000","30000","2021-05-10","13.20","7.51","A","A4",60,"5692","692","Fully Paid"
696618,"8000","42000","2021-03-11","3.43","7.66","A","A5",60,"9615","1615","Fully Paid"
582528,"3800","36000","2021-09-10","23.83","7.88","A","A5",60,"4176","376","Fully Paid"
688516,"5000","49200","2021-03-11","3.32","7.29","A","A4",60,"5981","981","Fully Paid"
859783,"6500","129996","2021-08-11","14.28","8.49","A","A5",60,"7520","1020","Fully Paid"
1021515,"12000","102000","2021-11-11","8.09","7.90","A","A4",60,"13356","1356","Fully Paid"
813125,"5500","39600","2021-07-11","10.21","8.49","A","A5",60,"6491","991","Fully Paid"
583776,"4900","63600","2021-09-10","14.00","7.88","A","A5",60,"5944","1044","Fully Paid"
676647,"5000","61200","2021-02-11","4.92","7.29","A","A4",60,"5981","981","Fully Paid"
1012916,"10200","73171","2021-11-11","4.54","7.90","A","A4",60,"12252","2052","Fully Paid"
604215,"6000","63600","2021-10-10","4.06","5.79","A","A2",60,"6029","29","Fully Paid"
892527,"15950","85200","2021-09-11","2.70","8.90","A","A5",60,"16153","203","Fully Paid"
599324,"7000","66000","2021-10-10","20.20","5.79","A","A2",60,"8079","1079","Fully Paid"
573268,"4200","117000","2021-09-10","8.99","7.88","A","A5",60,"5095","895","Fully Paid"
593988,"4800","40000","2021-10-10","21.14","7.88","A","A5",60,"5408","608","Fully Paid"
515713,"8000","76000","2021-05-10","2.53","7.88","A","A5",60,"9671","1671","Fully Paid"
561197,"8400","57600","2021-08-10","13.31","7.88","A","A5",60,"10165","1765","Fully Paid"
570180,"2000","71328","2021-08-10","4.76","7.51","A","A4",60,"2383","383","Fully Paid"
517329,"16000","50400","2021-05-10","16.74","7.88","A","A5",60,"11294","-4706","Fully Paid"
608229,"8900","70000","2021-11-10","7.82","6.17","A","A3",60,"5871","-3029","Fully Paid"
551795,"6600","55800","2021-07-10","7.23","7.88","A","A5",60,"7350","750","Fully Paid"
815611,"8000","43200","2021-07-11","2.75","9.99","B","B1",60,"9433","1433","Fully Paid"
692746,"5500","50000","2021-03-11","17.81","10.74","B","B4",60,"6321","821","Fully Paid"
506424,"8900","60000","2021-06-10","11.58","10.38","B","B1",60,"11446","2546","Fully Paid"
640719,"6000","144500","2021-12-10","2.81","8.88","B","B1",60,"7420","1420","Fully Paid"
621139,"8000","75000","2021-11-10","1.58","8.88","B","B1",60,"9776","1776","Fully Paid"
732286,"6000","48000","2021-04-11","19.77","9.63","B","B1",60,"7583","1583","Fully Paid"
872447,"7000","69600","2021-09-11","4.60","9.99","B","B1",60,"7059","59","Fully Paid"
585693,"10000","84000","2021-10-10","7.49","10.75","B","B2",60,"12492","2492","Fully Paid"
707040,"5000","90000","2021-03-11","11.85","10.00","B","B2",60,"6291","1291","Fully Paid"
887259,"8000","113592","2021-09-11","0.96","11.71","B","B3",60,"8212","212","Fully Paid"
564360,"8100","96000","2021-08-10","14.47","11.12","B","B3",60,"10240","2140","Fully Paid"
566307,"5000","87000","2021-08-10","5.61","11.86","B","B5",60,"6326","1326","Fully Paid"
769235,"4800","72000","2021-05-11","12.12","11.99","B","B5",60,"6176","1376","Fully Paid"
984446,"13200","66000","2021-10-11","20.36","9.91","B","B1",60,"15868","2668","Fully Paid"
577078,"6000","49000","2021-10-10","15.67","10.38","B","B1",60,"7684","1684","Fully Paid"
738492,"9000","43000","2021-04-11","13.34","10.00","B","B2",60,"9075","75","Fully Paid"
683681,"5600","47472","2021-02-11","15.57","10.37","B","B3",60,"7200","1600","Fully Paid"
681450,"7000","63600","2021-02-11","5.83","9.63","B","B1",60,"8558","1558","Fully Paid"
618922,"8400","58000","2021-11-10","22.47","9.25","B","B2",60,"8592","192","Fully Paid"
693893,"6500","55000","2021-03-11","9.84","10.00","B","B2",60,"8286","1786","Fully Paid"
863580,"6100","33276","2021-08-11","9.63","10.99","B","B3",60,"7592","1492","Fully Paid"
758048,"6000","119238","2021-05-11","4.80","11.49","B","B4",60,"7048","1048","Fully Paid"
880784,"9000","48000","2021-09-11","13.10","10.65","B","B2",60,"11621","2621","Fully Paid"
661768,"3600","70800","2021-01-11","1.39","10.00","B","B2",60,"4533","933","Fully Paid"
561175,"3600","44016","2021-08-10","9.21","11.12","B","B3",60,"4704","1104","Fully Paid"
642501,"9000","62000","2021-01-11","10.94","9.62","B","B3",60,"11144","2144","Fully Paid"
782454,"7200","36000","2021-06-11","12.83","9.99","B","B1",60,"8993","1793","Fully Paid"
1041749,"16675","72000","2021-12-11","8.68","11.71","B","B3",60,"17468","793","Fully Paid"
736337,"12000","72000","2021-04-11","17.92","10.00","B","B2",60,"15298","3298","Fully Paid"
576601,"6000","60000","2021-09-10","5.86","11.49","B","B4",60,"7915","1915","Fully Paid"
614426,"8000","128000","2021-11-10","14.13","9.62","B","B3",60,"8002","2","Fully Paid"
738276,"3000","30000","2021-05-11","19.32","9.99","B","B1",60,"3824","824","Fully Paid"
733213,"6000","40800","2021-04-11","8.88","10.00","B","B2",60,"6290","290","Fully Paid"
757196,"3500","90000","2021-05-11","8.92","10.99","B","B3",60,"3745","245","Fully Paid"
821358,"8000","108000","2021-07-11","13.58","10.99","B","B3",60,"10281","2281","Fully Paid"
684223,"5000","43000","2021-02-11","25.53","11.11","B","B5",60,"6539","1539","Fully Paid"
1008040,"4000","75000","2021-11-11","11.34","10.65","B","B2",60,"5033","1033","Fully Paid"
729542,"2200","103200","2021-04-11","2.03","10.37","B","B3",60,"2829","629","Fully Paid"
644325,"6000","54000","2021-01-11","2.64","8.88","B","B1",60,"7389","1389","Fully Paid"
645312,"9000","38000","2021-01-11","17.81","9.99","B","B4",60,"11359","2359","Fully Paid"
584708,"5300","92304","2021-09-10","8.62","11.12","B","B3",60,"6509","1209","Fully Paid"
637086,"5750","78000","2021-12-10","15.34","9.99","B","B4",60,"6805","1055","Fully Paid"
633120,"4800","51000","2021-12-10","7.55","10.36","B","B5",60,"4963","163","Fully Paid"
792984,"4000","53288.59","2021-06-11","19.10","10.59","B","B2",60,"4941","941","Fully Paid"
698952,"9000","48000","2021-03-11","12.25","10.37","B","B3",60,"11143","2143","Fully Paid"
624488,"9000","68000","2021-12-10","5.63","9.62","B","B3",60,"11126","2126","Fully Paid"
887247,"12000","58000","2021-09-11","7.99","9.91","B","B1",60,"14003","2003","Fully Paid"
623908,"15000","33600","2021-12-10","19.93","9.99","B","B4",60,"11327","-3673","Fully Paid"
697165,"4200","105600","2021-03-11","14.75","10.37","B","B3",60,"5400","1200","Fully Paid"
629368,"4000","64200","2021-12-10","4.02","8.88","B","B1",60,"4968","968","Fully Paid"
644275,"4000","60000","2021-01-11","13.76","8.88","B","B1",60,"4782","782","Fully Paid"
805365,"3000","64800","2021-07-11","4.67","11.99","B","B5",60,"3030","30","Fully Paid"
590335,"12000","100000","2021-10-10","0.86","11.86","B","B5",60,"15886","3886","Fully Paid"
695951,"3000","31500","2021-03-11","24.84","10.00","B","B2",60,"3599","599","Fully Paid"
598308,"12600","84000","2021-10-10","11.74","10.75","B","B2",60,"16343","3743","Fully Paid"
584872,"9000","62000","2021-09-10","6.02","10.38","B","B1",60,"10627","1627","Fully Paid"
969779,"2500","95832","2021-10-11","13.19","13.49","C","C1",60,"2931","431","Fully Paid"
613455,"12000","40300","2021-11-10","12.39","13.72","C","C5",60,"16488","4488","Fully Paid"
527076,"5000","80000","2021-06-10","8.83","13.23","C","C1",60,"5164","164","Fully Paid"
696580,"6000","81600","2021-03-11","13.71","13.06","C","C2",60,"8202","2202","Fully Paid"
557250,"7000","78000","2021-08-10","0.91","13.61","C","C2",60,"9633","2633","Fully Paid"
789895,"12000","129600","2021-06-11","4.98","12.99","C","C1",60,"15831","3831","Fully Paid"
716578,"6000","78000","2021-04-11","0.83","13.06","C","C2",60,"6066","66","Fully Paid"
692602,"2000","45000","2021-03-11","17.07","14.17","C","C5",60,"2664","664","Fully Paid"
549159,"9000","33600","2021-07-10","4.71","13.23","C","C1",60,"9669","669","Fully Paid"
716380,"4500","78000","2021-04-11","27.75","12.68","C","C1",60,"6099","1599","Fully Paid"
711388,"4500","48000","2021-04-11","9.28","13.06","C","C2",60,"4984","484","Fully Paid"
1038861,"10000","60000","2021-12-11","13.32","13.49","C","C1",60,"11633","1633","Fully Paid"
741687,"9100","93330","2021-05-11","9.71","16.49","D","D3",60,"9553","453","Fully Paid"
709197,"8000","65000","2021-03-11","10.91","14.91","D","D2",60,"11396","3396","Fully Paid"
533731,"4500","145000","2021-06-10","11.02","16.32","D","D5",60,"6612","2112","Fully Paid"
710985,"5000","58800","2021-04-11","9.39","15.65","D","D4",60,"7095","2095","Fully Paid"
629921,"10000","47000","2021-12-10","18.28","14.46","D","D2",60,"13074","3074","Fully Paid"
696558,"13000","95000","2021-03-11","13.29","16.02","D","D5",60,"14800","1800","Fully Paid"
723350,"2650","41280","2021-04-11","18.14","15.28","D","D3",60,"3142","492","Fully Paid"
682316,"15000","60000","2021-03-11","10.62","16.02","D","D5",60,"17077","2077","Fully Paid"
815909,"10000","96000","2021-07-11","11.44","19.69","E","E5",60,"15229","5229","Fully Paid"
643306,"6000","140000","2021-01-11","7.88","15.95","E","E1",60,"8688","2688","Fully Paid"
551666,"5000","48000","2021-07-10","6.13","17.56","E","E4",60,"7261","2261","Fully Paid"
559370,"6075","36000","2021-08-10","16.13","13.23","C","C1",60,"8336","2261","Fully Paid"
557199,"4000","24166","2021-08-10","0.74","7.88","A","A5",60,"4128","128","Fully Paid"
974781,"14000","60000","2021-10-11","9.04","7.90","A","A4",60,"14092","92","Fully Paid"
576451,"9175","76440","2021-09-10","21.70","10.75","B","B2",60,"11773","2598","Fully Paid"
551924,"11000","84787","2021-07-10","2.00","10.75","B","B2",60,"11928","928","Fully Paid"
1003699,"5150","50400","2021-10-11","15.74","10.65","B","B2",60,"5845","695","Fully Paid"
881238,"11900","199992","2021-09-11","11.88","10.65","B","B2",60,"13252","1352","Fully Paid"
764769,"9600","46800","2021-05-11","15.95","9.99","B","B1",60,"12245","2645","Fully Paid"
884359,"3000","76116","2021-09-11","9.98","12.42","B","B4",60,"3737","737","Fully Paid"
661207,"6000","85460","2021-02-11","6.40","9.63","B","B1",60,"6143","143","Fully Paid"
557983,"4000","125000","2021-08-10","2.23","10.75","B","B2",60,"4338","338","Fully Paid"
551639,"6000","74256","2021-07-10","10.08","13.61","C","C2",60,"6703","703","Fully Paid"
1018094,"3000","28080","2021-11-11","3.76","13.49","C","C1",60,"3254","254","Fully Paid"
686253,"5625","22800","2021-03-11","5.89","13.43","C","C3",60,"5991","366","Fully Paid"
772928,"14400","38400","2021-06-11","23.94","13.49","C","C2",60,"19819","5419","Fully Paid"
705174,"11000","60000","2021-03-11","14.00","14.17","C","C5",60,"13926","2926","Fully Paid"
558664,"8000","49000","2021-08-10","20.38","13.98","C","C3",60,"9428","1428","Fully Paid"
836577,"8000","87000","2021-08-11","10.69","15.99","D","D2",60,"9974","1974","Fully Paid"
755169,"5000","14400","2021-05-11","10.42","17.49","D","D5",60,"5145","145","Fully Paid"
666496,"5200","35000","2021-02-11","24.75","15.28","D","D3",60,"7074","1874","Fully Paid"
698465,"3200","25000","2021-03-11","13.49","16.40","E","E1",60,"4135","935","Fully Paid"
533354,"1500","40000","2021-06-10","18.72","17.56","E","E4",60,"2279","779","Fully Paid"
706692,"2000","27600","2021-03-11","9.61","7.66","A","A5",60,"2414","414","Fully Paid"
605402,"12000","65000","2021-11-10","6.13","6.54","A","A4",60,"9107","-2893","Fully Paid"
608856,"6500","60000","2021-11-10","7.14","6.91","A","A5",60,"5483","-1017","Fully Paid"
600015,"2225","24000","2021-10-10","9.80","5.79","A","A2",60,"2568","343","Fully Paid"
717347,"2800","62500","2021-04-11","10.04","10.37","B","B3",60,"3600","800","Fully Paid"
575382,"4000","48000","2021-09-10","2.60","11.12","B","B3",60,"4294","294","Fully Paid"
576862,"8500","57000","2021-09-10","14.42","11.12","B","B3",60,"10538","2038","Fully Paid"
978660,"4000","42000","2021-10-11","13.17","11.71","B","B3",60,"4147","147","Fully Paid"
819820,"5600","24000","2021-08-11","3.75","11.49","B","B4",60,"6654","1054","Fully Paid"
713383,"4400","45168","2021-03-11","21.07","10.37","B","B3",60,"5657","1257","Fully Paid"
615413,"12500","52000","2021-11-10","11.84","9.62","B","B3",60,"14905","2405","Fully Paid"
612022,"8650","60000","2021-11-10","7.14","9.62","B","B3",60,"8721","71","Fully Paid"
978326,"6500","36000","2021-10-11","1.75","11.71","B","B3",60,"8293","1793","Fully Paid"
689939,"10000","78000","2021-03-11","2.75","11.11","B","B5",60,"11168","1168","Fully Paid"
692928,"5000","28800","2021-03-11","5.46","11.11","B","B5",60,"6539","1539","Fully Paid"
766154,"4000","70800","2021-05-11","6.05","10.99","B","B3",60,"5216","1216","Fully Paid"
871683,"2900","63996","2021-09-11","18.17","11.49","B","B4",60,"3752","852","Fully Paid"
653195,"7000","60000","2021-01-11","12.18","10.37","B","B3",60,"8184","1184","Fully Paid"
584687,"6000","57600","2021-10-10","21.98","10.75","B","B2",60,"7666","1666","Fully Paid"
627263,"6000","50000","2021-12-10","0.31","9.99","B","B4",60,"7075","1075","Fully Paid"
708857,"6500","30000","2021-03-11","27.80","10.74","B","B4",60,"7245","745","Fully Paid"
880906,"2500","66000","2021-09-11","21.95","10.65","B","B2",60,"2684","184","Fully Paid"
768796,"5500","38000","2021-05-11","2.65","12.99","C","C1",60,"5677","177","Fully Paid"
718412,"6000","87492","2021-04-11","23.44","13.06","C","C2",60,"7622","1622","Fully Paid"
535326,"6000","48000","2021-06-10","8.20","13.61","C","C2",60,"7733","1733","Fully Paid"
660464,"4800","60000","2021-01-11","22.90","13.06","C","C2",60,"6427","1627","Fully Paid"
716996,"8500","58000","2021-04-11","16.76","13.06","C","C2",60,"11620","3120","Fully Paid"
733398,"7500","67800","2021-04-11","12.69","12.68","C","C1",60,"10147","2647","Fully Paid"
682668,"8750","30000","2021-03-11","10.28","12.68","C","C1",60,"10779","2029","Fully Paid"
619431,"5000","50000","2021-11-10","8.38","12.61","C","C2",60,"5947","947","Fully Paid"
732670,"4000","53040","2021-04-11","9.64","12.68","C","C1",60,"5421","1421","Fully Paid"
707475,"7500","38000","2021-04-11","10.99","13.06","C","C2",60,"8271","771","Fully Paid"
749746,"2225","25000","2021-05-11","19.15","12.99","C","C1",60,"2934","709","Fully Paid"
694259,"8000","49000","2021-03-11","8.50","14.17","C","C5",60,"9206","1206","Fully Paid"
686750,"3000","36000","2021-03-11","11.57","13.06","C","C2",60,"3764","764","Fully Paid"
743113,"4000","45000","2021-05-11","17.04","13.49","C","C2",60,"5521","1521","Fully Paid"
666953,"10000","60000","2021-02-11","13.16","13.80","C","C4",60,"12731","2731","Fully Paid"
655822,"7000","84000","2021-01-11","19.71","14.17","C","C5",60,"9805","2805","Fully Paid"
537433,"6500","54000","2021-07-10","0.11","13.98","C","C3",60,"8852","2352","Fully Paid"
525941,"7250","26400","2021-06-10","14.32","13.23","C","C1",60,"9949","2699","Fully Paid"
754020,"5575","36000","2021-05-11","17.27","13.49","C","C2",60,"7270","1695","Fully Paid"
740606,"5000","48000","2021-05-11","8.25","12.99","C","C1",60,"6824","1824","Fully Paid"
678920,"2000","36000","2021-02-11","21.10","13.06","C","C2",60,"2690","690","Fully Paid"
686310,"3000","60000","2021-03-11","11.72","15.28","D","D3",60,"4179","1179","Fully Paid"
829192,"13000","36360","2021-07-11","4.82","17.49","D","D5",60,"17973","4973","Fully Paid"
644810,"5000","73000","2021-01-11","13.20","14.46","D","D2",60,"7043","2043","Fully Paid"
681056,"10800","52000","2021-02-11","13.75","15.28","D","D3",60,"15511","4711","Fully Paid"
579829,"3600","28000","2021-09-10","24.81","15.21","D","D2",60,"4888","1288","Fully Paid"
552311,"7000","99996","2021-07-10","11.03","15.21","D","D2",60,"8503","1503","Fully Paid"
797316,"5500","24000","2021-06-11","21.15","17.49","D","D5",60,"7990","2490","Fully Paid"
566540,"8000","18000","2021-08-10","0.07","15.58","D","D3",60,"9487","1487","Fully Paid"
750889,"8000","24000","2021-06-11","10.30","18.39","E","E2",60,"11960","3960","Fully Paid"
619989,"4700","30000","2021-11-10","7.76","15.95","E","E1",60,"6076","1376","Fully Paid"
601044,"8000","28800","2021-10-10","7.33","16.69","E","E3",60,"11849","3849","Fully Paid"
577468,"2400","12000","2021-09-10","7.80","17.19","E","E3",60,"3477","1077","Fully Paid"
740077,"3000","22800","2021-04-11","20.37","18.25","F","F1",60,"3669","669","Fully Paid"
846685,"7000","101040","2021-08-11","5.70","11.49","B","B4",60,"8124","1124","Fully Paid"
715134,"8800","105000","2021-04-11","3.35","11.11","B","B5",60,"11091","2291","Fully Paid"
552886,"7500","74880","2021-08-10","8.13","11.86","B","B5",60,"9493","1993","Fully Paid"
689107,"1675","39600","2021-03-11","18.91","11.11","B","B5",60,"2190","515","Fully Paid"
813291,"3000","72000","2021-07-11","15.23","13.49","C","C2",60,"3973","973","Fully Paid"
783990,"5200","30000","2021-06-11","18.56","13.99","C","C3",60,"6525","1325","Fully Paid"
724957,"9600","103000","2021-04-11","2.55","13.06","C","C2",60,"12570","2970","Fully Paid"
758841,"5600","87600","2021-05-11","13.77","13.49","C","C2",60,"7394","1794","Fully Paid"
592018,"7500","57600","2021-10-10","7.56","11.12","B","B3",60,"9811","2311","Fully Paid"
552794,"7000","61200","2021-07-10","22.98","13.98","C","C3",60,"9760","2760","Fully Paid"
553450,"5600","84000","2021-08-10","0.84","13.98","C","C3",60,"7443","1843","Fully Paid"
601641,"16500","36566.4","2021-10-10","24.82","6.54","A","A4",60,"17127","627","Charged Off"
721687,"5500","114600","2021-04-11","13.61","10.00","B","B2",60,"2112","-3388","Charged Off"
614556,"6250","52000","2021-12-10","10.15","10.36","B","B5",60,"3214","-3036","Charged Off"
848386,"5000","45000","2021-08-11","16.24","10.99","B","B3",60,"325","-4675","Charged Off"
636187,"9000","85000","2021-12-10","20.34","10.36","B","B5",60,"576","-8424","Charged Off"
706337,"6000","120000","2021-03-11","5.23","10.37","B","B3",60,"6648","648","Charged Off"
693693,"12000","120000","2021-03-11","21.09","15.28","D","D3",60,"14650","2650","Charged Off"
628812,"7400","55000","2021-12-10","24.39","15.57","D","D5",60,"178","-7222","Charged Off"
563914,"5000","45000","2021-08-10","14.27","16.82","E","E2",60,"3648","-1352","Charged Off"
573788,"8500","60000","2021-09-10","14.74","18.30","F","F1",60,"8921","421","Charged Off"
515798,"7500","57000","2021-08-10","3.64","18.67","F","F2",60,"1738","-5762","Charged Off"
786940,"5000","43800","2021-06-11","19.62","11.49","B","B4",60,"5717","717","Charged Off"
997241,"8400","45600","2021-10-11","19.34","18.25","D","D5",60,"7953","-447","Charged Off"
874671,"2300","35000","2021-09-11","14.13","17.49","D","D5",60,"2130","-170","Charged Off"
704390,"2500","48000","2021-03-11","3.42","16.02","D","D5",60,"2341","-159","Charged Off"
839162,"4000","57600","2021-08-11","18.17","10.59","B","B2",60,"3104","-896","Charged Off"
804567,"7800","40560","2021-07-11","21.12","11.99","B","B5",60,"2627","-5173","Charged Off"
889741,"4000","24000","2021-09-11","2.60","14.27","C","C2",60,"3081","-919","Charged Off"
761214,"6000","62400","2021-05-11","12.77","15.23","C","C5",60,"6456","456","Charged Off"
1007711,"4800","66000","2021-11-11","5.73","18.25","D","D5",60,"3308","-1492","Charged Off"
596895,"4000","26400","2021-10-10","3.77","15.95","D","D4",60,"766","-3234","Charged Off"
814318,"5000","28800","2021-07-11","16.71","17.49","D","D5",60,"6546","1546","Charged Off"
619342,"4200","65000","2021-11-10","4.62","15.20","D","D4",60,"1234","-2966","Charged Off"
857274,"12000","86400","2021-08-11","8.94","15.99","D","D2",60,"6351","-5649","Charged Off"
674451,"4200","43596","2021-02-11","2.95","16.40","E","E1",60,"2236","-1964","Charged Off"
548705,"6000","24000","2021-07-10","8.05","18.67","F","F2",60,"3699","-2301","Charged Off"
829918,"4800","105000","2021-08-11","7.51","22.85","G","G3",60,"4867","67","Charged Off"
843590,"3000","55460","2021-08-11","6.82","13.99","C","C3",60,"982","-2018","Charged Off"
672391,"12000","67200","2021-02-11","12.11","18.25","F","F1",60,"3375","-8625","Charged Off"
674720,"2800","59385.6","2021-02-11","3.58","7.66","A","A5",60,"3213","413","Fully Paid"
597058,"4600","78000","2021-10-10","20.98","7.88","A","A5",60,"5144","544","Fully Paid"
672300,"7000","99996","2021-02-11","17.00","7.29","A","A4",60,"8374","1374","Fully Paid"
737848,"5750","23328","2021-05-11","20.68","7.66","A","A5",60,"6939","1189","Fully Paid"
965919,"6000","48000","2021-09-11","18.18","8.90","A","A5",60,"7236","1236","Fully Paid"
773300,"2400","107000","2021-06-11","7.10","8.49","A","A5",60,"2794","394","Fully Paid"
651508,"4500","45600","2021-01-11","11.47","7.66","A","A5",60,"4744","244","Fully Paid"
712904,"5600","54000","2021-03-11","13.53","7.29","A","A4",60,"6699","1099","Fully Paid"
686170,"6000","78996","2021-03-11","19.47","7.29","A","A4",60,"7178","1178","Fully Paid"
990249,"6000","54000","2021-11-11","2.62","8.90","A","A5",60,"7340","1340","Fully Paid"
564897,"4000","108000","2021-08-10","17.90","7.51","A","A4",60,"4810","810","Fully Paid"
583736,"6000","104400","2021-09-10","8.25","7.88","A","A5",60,"7162","1162","Fully Paid"
601373,"5000","87054.72","2021-10-10","23.27","8.88","B","B1",60,"6210","1210","Fully Paid"
555865,"6000","57600","2021-08-10","23.00","10.38","B","B1",60,"7633","1633","Fully Paid"
